round,x_1,x_2,x_3,x_4,balance_error_kw,cost
2000,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2010,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2020,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2030,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2040,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2050,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2060,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2070,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2080,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2090,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2100,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2110,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2120,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2130,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2140,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2150,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2160,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2170,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2180,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2190,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2200,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2210,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2220,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2230,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2240,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2250,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2260,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2270,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2280,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2290,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2300,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2310,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2320,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2330,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2340,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2350,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2360,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2370,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2380,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2390,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2400,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2410,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2420,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2430,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2440,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2450,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2460,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2470,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2480,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2490,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2500,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2510,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2520,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2530,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2540,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2550,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2560,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2570,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
2580,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
